product_name,current_stock,shop_name,shop_id,brand,unique_item_id,sold_per_month,historical_sold,liked_count,variation_type,variation,current_price,min_price,max_price,lowest_price_guarantee,current_discount_percentage,rating_star,shopee_verified,official_shop,cc_installment,none_cc_installment,preferred_seller,shop_location,shop_rating,cod,extraction_date
J&B Rare Blended Scotch Whisky 20cl,8,SingleMalt.PH,426244685,,21390416730,1,3,0,,[''],249.0,249.0,249.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Cointreau French Orange Liqueur 50cl,1,SingleMalt.PH,426244685,,10564138212,1,54,25,,[''],989.0,989.0,989.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Alto Los Romeros Merlot 2022 75cl,2,SingleMalt.PH,426244685,,22336952896,0,6,0,,[''],369.0,369.0,369.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Chivas 13 Year Old Extra Sherry Cask 70cl,18,SingleMalt.PH,426244685,,11053147582,1,3,1,,[''],1649.0,1649.0,1649.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Suntory Hibiki Harmony Masters Select 70cl,1,SingleMalt.PH,426244685,,12222943560,0,4,4,,[''],8599.0,8599.0,8599.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Aberfeldy 12 Year Old Single Malt Whisky 75cl,11,SingleMalt.PH,426244685,,8059639024,0,26,21,,[''],3299.0,3299.0,3299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Don Julio 1942 Tequila 75cl,1,SingleMalt.PH,426244685,,19981116411,0,0,4,,[''],11300.0,11300.0,11300.0,False,2%,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Gold Label Reserve 75cl Festive Set,24,SingleMalt.PH,426244685,,22486337720,0,0,0,,[''],2499.0,2499.0,2499.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Black Bull 12 Year Old Blended Scotch Whisky 50% 70cl,1,SingleMalt.PH,426244685,,22033567994,0,2,2,,[''],2870.0,2870.0,2870.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Luisita Reserva Single Estate Rum 70cl,2,SingleMalt.PH,426244685,,14793082560,0,7,7,,[''],1399.0,1399.0,1399.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
